Subject,Start Date,Start Time
LEC 2022 Spring - VIT vs MAD,2022-01-14,18:00
LEC 2022 Spring - SK vs RGE,2022-01-14,19:00
LEC 2022 Spring - G2 vs XL,2022-01-14,20:00
LEC 2022 Spring - MSF vs AST,2022-01-14,21:00
LEC 2022 Spring - BDS vs FNC,2022-01-14,22:00
LEC 2022 Spring - RGE vs MSF,2022-01-15,17:00
LEC 2022 Spring - BDS vs XL,2022-01-15,18:00
LEC 2022 Spring - SK vs MAD,2022-01-15,19:00
LEC 2022 Spring - G2 vs AST,2022-01-15,20:00
LEC 2022 Spring - VIT vs FNC,2022-01-15,21:00
LEC 2022 Spring - BDS vs MSF,2022-01-16,17:00
LEC 2022 Spring - VIT vs XL,2022-01-16,18:00
LEC 2022 Spring - RGE vs AST,2022-01-16,19:00
LEC 2022 Spring - SK vs FNC,2022-01-16,20:00
LEC 2022 Spring - MAD vs G2,2022-01-16,21:00
LEC 2022 Spring - MSF vs XL,2022-01-21,18:00
LEC 2022 Spring - FNC vs AST,2022-01-21,19:00
LEC 2022 Spring - SK vs G2,2022-01-21,20:00
LEC 2022 Spring - VIT vs BDS,2022-01-21,21:00
LEC 2022 Spring - RGE vs MAD,2022-01-21,22:00
LEC 2022 Spring - SK vs XL,2022-01-22,17:00
LEC 2022 Spring - MAD vs AST,2022-01-22,18:00
LEC 2022 Spring - BDS vs RGE,2022-01-22,19:00
LEC 2022 Spring - MSF vs FNC,2022-01-22,20:00
LEC 2022 Spring - VIT vs G2,2022-01-22,21:00
LEC 2022 Spring - BDS vs AST,2022-01-28,18:00
LEC 2022 Spring - MAD vs XL,2022-01-28,19:00
LEC 2022 Spring - VIT vs SK,2022-01-28,20:00
LEC 2022 Spring - RGE vs FNC,2022-01-28,21:00
LEC 2022 Spring - MSF vs G2,2022-01-28,22:00
LEC 2022 Spring - BDS vs SK,2022-01-29,17:00
LEC 2022 Spring - XL vs AST,2022-01-29,18:00
LEC 2022 Spring - MSF vs MAD,2022-01-29,19:00
LEC 2022 Spring - VIT vs RGE,2022-01-29,20:00
LEC 2022 Spring - G2 vs FNC,2022-01-29,21:00
LEC 2022 Spring - SK vs AST,2022-02-04,18:00
LEC 2022 Spring - RGE vs XL,2022-02-04,19:00
LEC 2022 Spring - VIT vs MSF,2022-02-04,20:00
LEC 2022 Spring - BDS vs G2,2022-02-04,21:00
LEC 2022 Spring - MAD vs FNC,2022-02-04,22:00
LEC 2022 Spring - SK vs MSF,2022-02-05,17:00
LEC 2022 Spring - BDS vs MAD,2022-02-05,18:00
LEC 2022 Spring - VIT vs AST,2022-02-05,19:00
LEC 2022 Spring - FNC vs XL,2022-02-05,20:00
LEC 2022 Spring - RGE vs G2,2022-02-05,21:00
LEC 2022 Spring - BDS vs MSF,2022-02-11,18:00
LEC 2022 Spring - RGE vs AST,2022-02-11,19:00
LEC 2022 Spring - VIT vs XL,2022-02-11,20:00
LEC 2022 Spring - SK vs FNC,2022-02-11,21:00
LEC 2022 Spring - MAD vs G2,2022-02-11,22:00
LEC 2022 Spring - BDS vs XL,2022-02-12,17:00
LEC 2022 Spring - SK vs MAD,2022-02-12,18:00
LEC 2022 Spring - RGE vs MSF,2022-02-12,19:00
LEC 2022 Spring - G2 vs AST,2022-02-12,20:00
LEC 2022 Spring - VIT vs FNC,2022-02-12,21:00
LEC 2022 Spring - FNC vs AST,2022-02-18,18:00
LEC 2022 Spring - MSF vs XL,2022-02-18,19:00
LEC 2022 Spring - VIT vs BDS,2022-02-18,20:00
LEC 2022 Spring - SK vs G2,2022-02-18,21:00
LEC 2022 Spring - RGE vs MAD,2022-02-18,22:00
LEC 2022 Spring - XL vs AST,2022-02-19,17:00
LEC 2022 Spring - BDS vs SK,2022-02-19,18:00
LEC 2022 Spring - MSF vs MAD,2022-02-19,19:00
LEC 2022 Spring - VIT vs RGE,2022-02-19,20:00
LEC 2022 Spring - G2 vs FNC,2022-02-19,21:00
LEC 2022 Spring - MAD vs XL,2022-02-25,18:00
LEC 2022 Spring - BDS vs AST,2022-02-25,19:00
LEC 2022 Spring - VIT vs SK,2022-02-25,20:00
LEC 2022 Spring - RGE vs FNC,2022-02-25,21:00
LEC 2022 Spring - MSF vs G2,2022-02-25,22:00
LEC 2022 Spring - VIT vs MSF,2022-02-26,17:00
LEC 2022 Spring - SK vs AST,2022-02-26,18:00
LEC 2022 Spring - RGE vs XL,2022-02-26,19:00
LEC 2022 Spring - BDS vs G2,2022-02-26,20:00
LEC 2022 Spring - MAD vs FNC,2022-02-26,21:00
LEC 2022 Spring - SK vs RGE,2022-03-04,18:00
LEC 2022 Spring - MSF vs AST,2022-03-04,19:00
LEC 2022 Spring - VIT vs MAD,2022-03-04,20:00
LEC 2022 Spring - G2 vs XL,2022-03-04,21:00
LEC 2022 Spring - BDS vs FNC,2022-03-04,22:00
LEC 2022 Spring - SK vs XL,2022-03-05,17:00
LEC 2022 Spring - MAD vs AST,2022-03-05,18:00
LEC 2022 Spring - BDS vs RGE,2022-03-05,19:00
LEC 2022 Spring - MSF vs FNC,2022-03-05,20:00
LEC 2022 Spring - VIT vs G2,2022-03-05,21:00
LEC 2022 Spring - SK vs MSF,2022-03-06,17:00
LEC 2022 Spring - VIT vs AST,2022-03-06,18:00
LEC 2022 Spring - BDS vs MAD,2022-03-06,19:00
LEC 2022 Spring - FNC vs XL,2022-03-06,20:00
LEC 2022 Spring - RGE vs G2,2022-03-06,21:00
LFL 2022 Spring - MSFP vs KC,2022-01-12,18:00
LFL 2022 Spring - GO vs GW,2022-01-12,19:00
LFL 2022 Spring - VITB vs SLY,2022-01-12,20:00
LFL 2022 Spring - OPL vs BDS.A,2022-01-12,21:00
LFL 2022 Spring - ME vs LDLC,2022-01-12,22:00
LFL 2022 Spring - LDLC vs GW,2022-01-13,18:00
LFL 2022 Spring - SLY vs BDS.A,2022-01-13,19:00
LFL 2022 Spring - ME vs KC,2022-01-13,20:00
LFL 2022 Spring - VITB vs GO,2022-01-13,21:00
LFL 2022 Spring - MSFP vs OPL,2022-01-13,22:00
LFL 2022 Spring - GW vs SLY,2022-01-19,18:00
LFL 2022 Spring - VITB vs OPL,2022-01-19,19:00
LFL 2022 Spring - MSFP vs ME,2022-01-19,20:00
LFL 2022 Spring - KC vs BDS.A,2022-01-19,21:00
